Source,Type,MemberOrganizations,Address1,Address2,City,State,ZIP,Phone,Website,Email,full_address,Latitude,Longitude
Stockton SJCHC Historical Societies & Museums,Cultural Site,Risley Homestead,8 Virginia Ave,NA,Northfield,NJ,08225,609 927 5218,NA,NA,"8 Virginia Ave, Northfield, NJ, 8225",39.3756042,-74.5392223
Curated using Google,Historical Society,Cumberland County Historical Society,981 Ye Greate St,NA,Greenwich,NJ,08323,NA,NA,NA,"981 Ye Greate St, Greenwich, NJ, 08323",39.3904592,-75.3395813
Stockton SJCHC Historical Cultural Sites,Cultural Site,Gibbon House,960 Greate Street,NA,Greenwich,NJ,08323,NA,NA,NA,"960 Greate Street, Greenwich, NJ, 8323",39.3924339,-75.3407462
League of Historical Societies of NJ,Historical Society,Cumberland County Historical Society,960 Ye Greate Street,P.O. Box 16,Greenwich,NJ,08323,856-455-8580,cchistsoc.org,NA,"960 Ye Greate Street, Greenwich, NJ, 8323",39.3924339,-75.3407462
Curated using Google,Marine,Marine Mammal Stranding Center,3625 Atlantic Brigantine Blvd,NA,Brigantine,NJ,08203,NA,NA,NA,"3625 Atlantic Brigantine Blvd, Brigantine, NJ, 08203",39.3948318,-74.3909484
Curated using Google,Historical Society,Brigantine Beach Historical Museum and Society,3607 Atlantic Brigantine Blvd,NA,Brigantine,NJ,08203,NA,NA,NA,"3607 Atlantic Brigantine Blvd, Brigantine, NJ, 08203",39.3948565,-74.3901988
Curated using Google,Organization,Friends of the Maurice River,17 E Main St,NA,Millville,NJ,08332,NA,NA,NA,"17 E Main St, Millville, NJ, 08332",39.3952833,-75.0394141
League of Historical Societies of NJ,Historical Society,Millville Historical Society,200 E. Main Street,NA,Millville,NJ,08332,856-293-1078,www.millhistsoc.org,NA,"200 E. Main Street, Millville, NJ, 8332",39.395468,-75.036877
Curated using Google,Bookstore,The Book Trader,110 North High Street,NA,Millville,NJ,08332,NA,NA,NA,"110 North High Street, Millville, NJ, 08332",39.3964466,-75.0385686
Curated using Google,Bookstore,Bogart's Bookstore & Cafe,210 North High Street,NA,Millville,NJ,08332,NA,NA,NA,"210 North High Street, Millville, NJ, 08332",39.3974997,-75.0385782
Stockton SJCHC Historical Societies & Museums,Historical Society,Brigantine Beach Historical Museum and Society,1417 West Brigantine Avenue,NA,Brigantine,NJ,08203,609-266-7600,http://www.brigantinebeachnj.com/history_museum.html,NA,"1417 West Brigantine Avenue, Brigantine, NJ, 8203",39.402341,-74.3739388
League of Historical Societies of NJ,Historical Society,Greater Egg Harbour Township Historical Society,6647 West Jersey Avenue,NA,Egg Harbor Township,NJ,08234,609-813-2002,gehthsmuseum.org,NA,"6647 West Jersey Avenue, Egg Harbor Township, NJ, 8234",39.407287,-74.5774999
League of Historical Societies of NJ,Cultural Site,Wheaton Arts & Cultural Center,1501 Glasstown Road,NA,Millville,NJ,08332,856-825-6800,http://www.wheatonvillage.org/,mail@wheatonarts.org,"1501 Glasstown Road, Millville, NJ, 8332",39.4106948,-75.0205985
Stockton SJCHC Historical Societies & Museums,Cultural Site,Down Jersey Folklife Center,1502 Glasstown Road,NA,Millville,NJ,08332,NA,https://visitnj.org/down-jersey-folklife-center,NA,"1502 Glasstown Road, Millville, NJ, 8332",39.4117777,-75.0228824
Curated using Google,Historical Society,Egg Harbor Township Historical Society,6647 Delilah Rd,NA,Egg Harbor Township,NJ,08234,NA,NA,NA,"6647 Delilah Rd, Egg Harbor Township, NJ, 08234",39.4172018,-74.5421681
Curated using Google,Historical Society,Dorothy Historical Society,6611 Black Horse Pike,NA,Egg Harbor Township,NJ,08234,NA,NA,NA,"6611 Black Horse Pike, Egg Harbor Township, NJ, 08234",39.417682,-74.58149
Stockton SJCHC Historical Cultural Sites,Cultural Site,New Sweden Colonial Farmstead,50 E BROAD ST,NA,BRIDGETON,NJ,08302,NA,NA,NA,"50 E BROAD ST, BRIDGETON, NJ, 8302",39.4271208,-75.2349017
Curated using Google,Historical Society,Bridgeton Renaissance League,14 E Commerce St,NA,Bridgeton,NJ,08302,NA,NA,NA,"14 E Commerce St, Bridgeton, NJ, 08302",39.4281781,-75.2262715
League of Historical Societies of NJ,Cultural Site,Cumberland County Cultural & Heritage Commission,164 West Broad Street,NA,Bridgeton,NJ,08302,856-453-2175,co.cumberland.nj.us/culturalandheritagecommission,mattpi@co.cumberland.nj.us,"164 West Broad Street, Bridgeton, NJ, 8302",39.4287328,-75.2425728
Curated using Google,Historical Society,Greenfield Historical Society,343 N Shore Rd,NA,Absecon,NJ,08201,NA,NA,NA,"343 N Shore Rd, Absecon, NJ, 08201",39.4291096,-74.4951588
Curated using Google,Organization,Mays Landing Merchants Association,6176 Harding Hwy,NA,Mays Landing,NJ,08330,NA,NA,NA,"6176 Harding Hwy, Mays Landing, NJ, 08330",39.4477812,-74.7368146
Curated using Google,Education,Seabrook Educational and Cultural Center,133 Polk Ln,NA,Bridgeton,NJ,08302,NA,NA,NA,"133 Polk Ln, Bridgeton, NJ, 08302",39.448152,-75.229915
Curated using Google,Historical Society,Franklin Township Historical Society,375 S Main Rd,NA,Vineland,NJ,08360,NA,NA,NA,"375 S Main Rd, Vineland, NJ, 08360",39.4488719,-75.013589
Stockton SJCHC Historical Societies & Museums,Historical Society,Township of Hamilton Historical Society,49 Mill Street,P.O. Box 482,Mays Landing,NJ,08330,(609) 909-0272,http://www.hamiltonhistorical.com/,NA,"49 Mill Street, Mays Landing, NJ, 8330",39.451453,-74.7361444
League of Historical Societies of NJ,Historical Society,Hamilton Historical Society,NA,PO Box 482,Mays Landing,NJ,08330,609-909-0272,hamiltontownshiphistorical.org,NA,"NA, Mays Landing, NJ, 8330",39.4523326,-74.727661
Curated using Google,Bookstore,Booktrader of Hamilton,4403 Black Horse Pike,NA,Mays Landing,NJ,08330,NA,NA,NA,"4403 Black Horse Pike, Mays Landing, NJ, 08330",39.4542478,-74.6439128
Curated using Google,Historical Society,Township of Hamilton Historical Society,6101 13th St,NA,Mays Landing,NJ,08330,NA,NA,NA,"6101 13th St, Mays Landing, NJ, 08330",39.463578,-74.722758
Curated using Google,Museum,Noyes Museum of Art,733 Lily Lake Rd,NA,Oceanville,NJ,08231,NA,NA,NA,"733 Lily Lake Rd, Oceanville, NJ, 08231",39.4666023,-74.4593604
Curated using Google,Historical Society,Galloway Township Historical Society,306 E Jimmie Leeds Rd,NA,Galloway,NJ,08205,NA,NA,NA,"306 E Jimmie Leeds Rd, Galloway, NJ, 08205",39.4726507,-74.5162502
League of Historical Societies of NJ,Historical Society,Buena Historical Society,5174 Landis Avenue,NA,Vineland,NJ,08360,856-466-4654,NA,Casazza5174@comcast.net,"5174 Landis Avenue, Vineland, NJ, 8360",39.4801411,-74.898334
Curated using Google,Historical Society,Vineland Historical and Antiquarian Society,108 S 7th St,NA,Vineland,NJ,08360,NA,NA,NA,"108 S 7th St, Vineland, NJ, 08360",39.4847323,-75.0212901
League of Historical Societies of NJ,Historical Society,Vineland Historical & Antiquarian Society,108 S. 7th St.,P.O. Box 35,Vineland,NJ,08362,856-691-1111,discovervinelandhistory.org,NA,"108 S. 7th St., Vineland, NJ, 8362",39.4847323,-75.0212901
Curated using Google,Historical Society,Historic Smithville,615 E Moss Mill Rd,NA,Smithville,NJ,08205,NA,NA,NA,"615 E Moss Mill Rd, Smithville, NJ, 08205",39.4959595,-74.4608158
Curated using Google,Historical Society,Lower Alloways Creek Township Historical Society,501 Locust Island Rd,NA,Hancocks Bridge,NJ,08038,NA,NA,NA,"501 Locust Island Rd, Hancocks Bridge, NJ, 08038",39.504571,-75.456315
Curated using Google,Education,Underground Railroad Educational Center,300 N New York Rd,NA,Galloway,NJ,08205,NA,NA,NA,"300 N New York Rd, Galloway, NJ, 08205",39.53103,-74.462646
Curated using Google,Historical Society,The Historical Preservation Society of Upper Township,310 Chestnut Neck Rd,NA,Port Republic,NJ,08241,NA,NA,NA,"310 Chestnut Neck Rd, Port Republic, NJ, 08241",39.5319525,-74.4930312
Stockton SJCHC Historical Societies & Museums,Historical Society,Egg Harbor City Historical Society,533 London Ave,NA,Egg Harbor City,NJ,08215-1565,609 965 9073,http://www.ehchs.org/index.php,NA,"533 London Ave, Egg Harbor City, NJ, 08215-1565",39.5359879,-74.6432442
Stockton SJCHC Historical Societies & Museums,Museum,The African American Heritage Museum of Southern New Jersey,661 Jackson Road,NA,Newtonville,NJ,08346,NA,http://www.aahmsnj.org/,NA,"661 Jackson Road, Newtonville, NJ, 8346",39.562166,-74.869848
Curated using Google,Museum,African American Heritage Museum,661 Jackson Road,NA,Newtonville,NJ,08346,NA,NA,NA,"661 Jackson Road, Newtonville, NJ, 08346",39.562166,-74.869848
Curated using Google,Organization,Long Beach Island Historical Association,129 Engleside Ave,NA,Beach Haven,NJ,08008,NA,NA,NA,"129 Engleside Ave, Beach Haven, NJ, 08008",39.5624423,-74.2385592
League of Historical Societies of NJ,Organization,Long Beach Island Historical Association,129 Engleside Avenue,P.O. Box 1222,Beach Haven,NJ,08008,609-492-0700,lbihistoricalmuseum.org,NA,"129 Engleside Avenue, Beach Haven, NJ, 8008",39.5624423,-74.2385592
Curated using Google,Bookstore,LBI Book Swap,301-401 9th St,NA,Beach Haven,NJ,08008,NA,NA,NA,"301-401 9th St, Beach Haven, NJ, 08008",39.5687355,-74.2338635
Curated using Google,Historical Society,Salem County Historical Society,83 Market St,NA,Salem,NJ,08079,NA,NA,NA,"83 Market St, Salem, NJ, 08079",39.5732874,-75.4665676
Stockton SJCHC Historical Societies & Museums,Historical Society,Jewish Historical Society of Rural Southern New Jersey,83 Market Street,NA,Salem,NJ,08079,856-935-5004,http://www.salemcountyhistoricalsociety.com/,NA,"83 Market Street, Salem, NJ, 8079",39.5732874,-75.4665676
League of Historical Societies of NJ,Historical Society,Salem County Historical Society,83 Market Street,NA,Salem,NJ,08079,856-935-5004,salemcountyhistoricalsociety.com,NA,"83 Market Street, Salem, NJ, 8079",39.5732874,-75.4665676
Curated using Google,Historical Society,"Bass River Township Historical Society
","3 N. Maple Avenue
",NA,"New Gretna
",NJ,08224,NA,NA,NA,"3 N. Maple Avenue
, New Gretna
, NJ, 08224",39.5929347,-74.451537
Curated using Google,Museum,Tuckerton Seaport & Baymen's Museum,120 W Main St,NA,Tuckerton,NJ,08087,NA,NA,NA,"120 W Main St, Tuckerton, NJ, 08087",39.6030616,-74.3415483
League of Historical Societies of NJ,Museum,Barnegat Bay Decoy & Baymens Museum,120 West Main Street,PO Box 52,Tuckerton,NJ,08087,609-296-8868,tuckertonseaport.org,NA,"120 West Main Street, Tuckerton, NJ, 8087",39.6030616,-74.3415483
Curated using Google,Gift shop,Nick's Jewelry & Nautical Gift Shop,112 Giffordtown Ln,NA,Tuckerton,NJ,08087,NA,NA,NA,"112 Giffordtown Ln, Tuckerton, NJ, 08087",39.6051273,-74.3557374
Curated using Google,Organization,Friends of the Bass River State Forest,762 Stage Rd,NA,Tuckerton,NJ,08087,NA,NA,NA,"762 Stage Rd, Tuckerton, NJ, 08087",39.6210798,-74.4225973
Stockton SJCHC Historical Societies & Museums,Museum,Noyes Museum of Art,30 Front Street,NA,Hammonton,NJ,08037,NA,http://www.noyesmuseum.org/,NA,"30 Front Street, Hammonton, NJ, 8037",39.6343644,-74.8042327
League of Historical Societies of NJ,Historical Society,Historical Society of Hammonton,333 Vine Street,P.O. Box 876,Hammonton,NJ,08037,609-270-7652,www.historicalsocietyofhammonton.org,NA,"333 Vine Street, Hammonton, NJ, 8037",39.6370501,-74.8006652
Curated using Google,Historical Society,Hammonton Historical Society,306 Bellevue Ave,NA,Hammonton,NJ,08037,NA,NA,NA,"306 Bellevue Ave, Hammonton, NJ, 08037",39.6373112,-74.8017764
Curated using Google,Historical Society,The Batsto Citizens Committee,31 Batsto Rd,NA,Hammonton,NJ,08037,NA,NA,NA,"31 Batsto Rd, Hammonton, NJ, 08037",39.643388,-74.6481908
Curated using Google,Historical Society,Joseph Wharton's Batsto Mansion,31 Batsto Rd,NA,Hammonton,NJ,08037,NA,NA,NA,"31 Batsto Rd, Hammonton, NJ, 08037",39.643388,-74.6481908
Curated using Google,Historical Society,Pine Barrens Discovery Center,1004 Rt 542,NA,Hammonton,NJ,08037,NA,NA,NA,"1004 Rt 542, Hammonton, NJ, 08037",39.656979,-74.632072
Curated using Google,Historical Society,Blue Anchor Historical Society,114 E Central Ave,NA,Blue Anchor,NJ,08037,NA,NA,NA,"114 E Central Ave, Blue Anchor, NJ, 08037",39.68901,-74.878232
Curated using Google,Historical Society,Stafford Township Historical Society,235 N Main St,NA,Manahawkin,NJ,08050,NA,NA,NA,"235 N Main St, Manahawkin, NJ, 08050",39.6941647,-74.2604916
League of Historical Societies of NJ,Cultural Site,Batsto Village,31 Batsto Road,NA,Hammonton,NJ,08037,609-561-0024,batstovillage.org,http://www.state.nj.us/dep/parksandforests/parks/docs/batsto_teaching_resource.pdf,"31 Batsto Road, Hammonton, NJ, 8037",39.6977067,-74.6932584
Curated using Google,Bookstore,The Comic Book Store,30 North Main Street,NA,Glassboro,NJ,08028,NA,NA,NA,"30 North Main Street, Glassboro, NJ, 08028",39.7034448,-75.1115513
Curated using Google,Museum,Heritage Glass Museum,25 E High St,NA,Glassboro,NJ,08028,NA,NA,NA,"25 E High St, Glassboro, NJ, 08028",39.7043838,-75.1176022
Curated using Google,Organization,Mullica Hill Merchants Association,47 S Main St,NA,Mullica Hill,NJ,08062,NA,NA,NA,"47 S Main St, Mullica Hill, NJ, 08062",39.7306837,-75.224025
Curated using Google,Bookstore,The Mullica Hill Book Store,45 South Main Street,NA,Mullica Hill,NJ,08062,NA,NA,NA,"45 South Main Street, Mullica Hill, NJ, 08062",39.7307253,-75.224029
Curated using Google,Historical Society,Pitman Historical Society,17 S Broadway,NA,Pitman,NJ,08071,NA,NA,NA,"17 S Broadway, Pitman, NJ, 08071",39.732833,-75.1310174
Stockton SJCHC Historical Societies & Museums,Historical Society,Barnegat Historical Society,575 East Bay Avenue,NA,Barnegat,NJ,NA,(732) 573-5537,NA,NA,"575 East Bay Avenue, Barnegat, NJ",39.7490442,-74.2112591
League of Historical Societies of NJ,Historical Society,Barnegat Light Historical Society,501 Central Avenue,P.O. Box 56,Barnegat Light,NJ,08006,609-494-8578,https://www.barnegatlighthistoricalsociety.org/,NA,"501 Central Avenue, Barnegat Light, NJ, 8006",39.7600038,-74.1053004
Curated using Google,Lighthouse,Barnegat Lighthouse State Park,208 Broadway,NA,Barnegat Light,NJ,08006,NA,NA,NA,"208 Broadway, Barnegat Light, NJ, 08006",39.7628778,-74.1080505
Curated using Google,"Lighthouse, Organization",Friends of Barnegat Lighthouse State Park,208 Broadway,NA,Barnegat Light,NJ,08006,NA,NA,NA,"208 Broadway, Barnegat Light, NJ, 08006",39.7628778,-74.1080505
League of Historical Societies of NJ,"Lighthouse, Association",New Jersey Lighthouse Society,NA,P.O. Box 194,Pedricktown,NJ,08067,NA,http://www.njlhs.org/,NA,"NA, Pedricktown, NJ, 8067",39.7673357,-75.4146374
Curated using Google,Historical Society,Indian Mills Historic Society,105 Willow Grove Road,NA,Shamong,NJ,08088,NA,NA,NA,"105 Willow Grove Road, Shamong, NJ, 08088",39.7915471,-74.7567688
Curated using Google,Bookstore,The Book Asylum,28 North Black Horse Pike,NA,Blackwood,NJ,08012,NA,NA,NA,"28 North Black Horse Pike, Blackwood, NJ, 08012",39.801541,-75.063784
Curated using Google,Historical Society,East Greenwich Township Historical Society,159 Democrat Rd,NA,Mickleton,NJ,08056,NA,NA,NA,"159 Democrat Rd, Mickleton, NJ, 08056",39.804144,-75.2609968
Curated using Google,Wildlife,Cedar Run Wildlife Refuge,4 Sawmill Rd,NA,Medford,NJ,08055,NA,NA,NA,"4 Sawmill Rd, Medford, NJ, 08055",39.821225,-74.8474738
Curated using Google,Historical Society,Medford Historical Society,11 James St,NA,Medford,NJ,08055,NA,NA,NA,"11 James St, Medford, NJ, 08055",39.8255011,-74.8405789
League of Historical Societies of NJ,Historical Society,Lacey Historical Society,126 S. Main St.,P.O. Box 412,Forked River,NJ,08731,609-693-0467,laceytownship.org,NA,"126 S. Main St., Forked River, NJ, 8731",39.8381309,-74.1933723
League of Historical Societies of NJ,Historical Society,Gloucester County Historical Society,17 Hunter Street,NA,Woodbury,NJ,08096,856-845-4771,gchsnj.org,NA,"17 Hunter Street, Woodbury, NJ, 8096",39.8395475,-75.1516367
Curated using Google,Organization,Woodland Township Historical Society,5249 Route 72,NA,Woodland,NJ,08088,NA,NA,NA,"5249 Route 72, Woodland, NJ, 08088",39.847659,-74.55576
League of Historical Societies of NJ,Historical Society,Society of Mayflower Descendants in the State of New Jersey,184 Kihade Trail,NA,Medford Lakes,NJ,08055,609-605-1399,njmayflower.org,NA,"184 Kihade Trail, Medford Lakes, NJ, 8055",39.8522204,-74.8142406
League of Historical Societies of NJ,Cultural Site,Old Baldy Civil War Round Table,211 Bergen Avenue,NA,Voorhees,NJ,08043,NA,oldbaldycwrt.org,NA,"211 Bergen Avenue, Voorhees, NJ, 8043",39.8559972,-74.9935437
Stockton SJCHC Historical Societies & Museums,Museum,Benson History Museum,427 E Pine St,NA,Lawnside,NJ,08045,NA,http://www.thebensonhistorymuseum.org/,NA,"427 E Pine St, Lawnside, NJ, 08045",39.8604564,-75.0182029
Curated using Google,Historical Society,Tabernacle Historical Society,31 Hawkin Rd,NA,Tabernacle,NJ,08088,NA,NA,NA,"31 Hawkin Rd, Tabernacle, NJ, 08088",39.8642833,-74.7408987
Curated using Google,Historical Society,Lawnside Historical Society,112 E Charleston Ave,NA,Lawnside,NJ,08045,NA,NA,NA,"112 E Charleston Ave, Lawnside, NJ, 08045",39.864599,-75.0296084
Curated using Google,Organization,Mansion on Main Street,3000 Main St,NA,Voorhees Township,NJ,08043,NA,NA,NA,"3000 Main St, Voorhees Township, NJ, 08043",39.8658313,-74.9448233
Stockton SJCHC Historical Societies & Museums,Cultural Site,Peter Mott House,26 Kings Court,NA,Lawnside,NJ,08045,( 856) 546-8850,www.petermotthouse.org,NA,"26 Kings Court, Lawnside, NJ, 8045",39.8674427,-75.0365275
Curated using Google,Historical Society,Red Bank Battlefield Park,100 Hessian Ave,NA,National Park,NJ,08063,NA,NA,NA,"100 Hessian Ave, National Park, NJ, 08063",39.868976,-75.189551
Curated using Google,"Presevation, Organization",South Jersey Cultural Alliance,200 Tuckerton Rd,NA,Medford,NJ,08055,NA,NA,NA,"200 Tuckerton Rd, Medford, NJ, 08055",39.8689952,-74.8479065
Curated using Google,Historical Society,Jewish Historical Society of Rural Southern New Jersey,1201 Springdale Rd,NA,Cherry Hill,NJ,08003,NA,NA,NA,"1201 Springdale Rd, Cherry Hill, NJ, 08003",39.88113,-74.970102
Curated using Google,Historical Society,Evasham Township Historical Society,856 Cropwell Rd,NA,Cherry Hill,NJ,08003,NA,NA,NA,"856 Cropwell Rd, Cherry Hill, NJ, 08003",39.8888465,-74.9386776
League of Historical Societies of NJ,Historical Society,Audubon Historical Society,234 Oak Street,NA,Audubon,NJ,08106,856-547-5324,audubonnj.com,NA,"234 Oak Street, Audubon, NJ, 8106",39.8892975,-75.0707775
